ip	class	tld	entropy	len	norm_entropy	vowel_ratio	digit_ratio	repeat_letter	consec_digit	consec_consonant	gib_value	hmm_log	uni_rank	bi_rank	tri_rank	uni_std	bi_std	tri_std	private_tld
hyatt.com.	0	com	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.57	1.00	-20.15	10.40	177.67	3205.60	6.50	152.04	2095.59	0
livesurf.ru.	0	ru	2.164	10.0	0.216	0.30	0.00	0.00	0.00	0.20	1.00	-24.91	10.00	143.11	963.38	7.18	118.94	962.67	0
republika.co.id.	0	co.id	2.272	11.0	0.207	0.36	0.00	0.00	0.00	0.18	1.00	-36.60	9.11	134.50	1019.78	5.82	91.05	546.96	0
tomoson.com.	0	com	1.677	9.0	0.186	0.33	0.00	0.11	0.00	0.00	1.00	-23.88	5.71	57.00	744.86	2.86	36.20	628.09	0
bigideamastermind.com.	0	com	2.406	19.0	0.127	0.37	0.00	0.26	0.00	0.32	1.00	-42.76	7.12	79.56	728.29	4.74	70.33	1095.42	0
24sata.hr.	0	hr	1.733	8.0	0.217	0.25	0.25	0.12	0.25	0.00	1.00	-30.79	12.67	244.29	3727.50	12.43	256.98	3630.42	0
bikhir.ma.	0	ma	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.25	1.00	-35.84	10.67	159.29	3414.67	6.10	133.19	3026.73	0
socialspark.com.	0	com	2.245	13.0	0.173	0.31	0.00	0.15	0.00	0.38	1.00	-26.25	7.09	104.08	645.82	4.93	66.87	915.43	0
eurosport.ru.	0	ru	2.020	11.0	0.184	0.36	0.00	0.18	0.00	0.36	1.00	-25.91	6.44	88.40	600.89	4.17	75.30	552.80	0
accenture.com.	0	com	2.020	11.0	0.184	0.36	0.00	0.18	0.00	0.36	1.00	-23.13	6.44	87.50	640.00	4.09	95.89	548.19	0
ilovemobi.com.	0	com	2.020	11.0	0.184	0.45	0.00	0.18	0.00	0.00	1.00	-28.38	8.00	109.90	1157.67	6.55	48.77	724.68	0
digitalmarketer.com.	0	com	2.344	17.0	0.138	0.35	0.00	0.29	0.00	0.24	1.00	-33.56	7.07	78.56	410.60	5.09	82.46	380.77	0
wisegeek.com.	0	com	1.834	10.0	0.183	0.40	0.00	0.10	0.00	0.00	1.00	-24.63	8.38	134.56	1255.50	7.94	74.19	698.15	0
dbs.com.	0	com	1.332	5.0	0.266	0.00	0.00	0.00	0.00	0.60	0.00	-15.09	10.67	178.25	6622.67	4.19	154.02	5948.37	0
vulture.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-20.36	10.14	181.62	2033.14	6.20	185.29	2387.88	0
standaard.be.	0	be	1.846	11.0	0.168	0.27	0.00	0.18	0.00	0.55	1.00	-33.67	6.22	87.30	1065.22	3.74	105.78	1674.80	0
hsselite.com.	0	com	1.887	10.0	0.189	0.30	0.00	0.20	0.00	0.30	1.00	-26.59	6.12	95.67	2065.88	4.83	135.48	3347.87	0
pontofrio.com.br.	0	com.br	1.972	11.0	0.179	0.36	0.00	0.09	0.00	0.36	1.00	-34.74	7.56	77.50	1172.78	5.52	65.66	1160.99	0
healthline.com.	0	com	2.023	12.0	0.169	0.33	0.00	0.25	0.00	0.33	1.00	-25.89	7.50	95.09	926.70	5.59	136.40	1277.10	0
sbisec.co.jp.	0	co.jp	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.25	1.00	-29.04	6.67	123.14	2139.50	4.57	103.21	1209.52	0
wonderhowto.com.	0	com	2.098	13.0	0.161	0.31	0.00	0.15	0.00	0.46	1.00	-33.10	9.27	147.67	1491.00	7.05	183.63	1226.57	0
uscis.gov.	0	gov	1.550	7.0	0.221	0.29	0.00	0.14	0.00	0.29	1.00	-26.89	7.40	111.50	1879.40	3.50	61.71	1287.33	0
podnapisi.net.	0	net	2.020	11.0	0.184	0.36	0.00	0.18	0.00	0.18	1.00	-35.11	7.33	125.00	2068.33	4.55	94.20	1307.58	0
trovaprezzi.it.	0	it	2.245	13.0	0.173	0.31	0.00	0.15	0.00	0.46	1.00	-40.36	10.45	169.75	2348.27	8.94	132.12	1928.85	0
ppomppu.co.kr.	0	co.kr	1.427	9.0	0.159	0.22	0.00	0.11	0.00	0.56	1.00	-42.46	11.86	166.38	4434.86	3.76	90.06	2565.63	0
lastminute.com.	0	com	2.254	12.0	0.188	0.33	0.00	0.08	0.00	0.25	1.00	-29.16	6.70	98.45	1103.40	3.61	108.41	1151.08	0
sssc.cn.	0	cn	1.011	6.0	0.169	0.00	0.00	0.17	0.00	0.67	1.00	-23.67	6.25	122.00	3511.25	2.17	60.99	1103.38	0
sport-fm.gr.	0	gr	2.164	10.0	0.216	0.10	0.00	0.00	0.00	0.60	0.00	-30.68	11.12	198.67	3288.00	6.85	189.53	4681.13	0
koyotesoft.com.	0	com	1.979	12.0	0.165	0.33	0.00	0.17	0.00	0.17	1.00	-29.14	8.60	153.27	1742.50	7.05	107.93	2102.70	0
crazyegg.com.	0	com	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.60	0.00	-29.23	11.88	226.67	4402.25	7.99	159.94	4449.92	0
actudesfinances.org.	0	org	2.344	17.0	0.138	0.35	0.00	0.29	0.00	0.35	1.00	-43.62	7.20	99.25	878.73	5.09	102.18	871.19	0
mydrivers.com.	0	com	2.146	11.0	0.195	0.18	0.00	0.09	0.00	0.55	1.00	-20.80	9.56	134.70	1191.56	6.69	133.03	1677.51	0
