ip	class	tld	entropy	len	norm_entropy	vowel_ratio	digit_ratio	repeat_letter	consec_digit	consec_consonant	gib_value	hmm_log	uni_rank	bi_rank	tri_rank	uni_std	bi_std	tri_std	private_tld
experiandirect.com.	0	com	2.307	16.0	0.144	0.38	0.00	0.19	0.00	0.38	1.00	-29.65	7.14	83.73	330.71	6.13	82.59	373.68	0
contentmarketinginstitute.com.	0	com	2.397	27.0	0.089	0.33	0.00	0.15	0.00	0.44	1.00	-63.98	6.92	64.58	611.16	4.23	76.37	816.72	0
novaposhta.ua.	0	ua	2.138	12.0	0.178	0.33	0.00	0.17	0.00	0.25	1.00	-39.38	8.30	127.55	1737.70	6.66	82.01	1387.01	0
utah.gov.	0	gov	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	1.00	-25.94	9.75	165.00	2765.00	5.72	84.04	879.70	0
adwords-community.com.	0	com	2.653	19.0	0.140	0.26	0.00	0.16	0.00	0.47	1.00	-43.28	10.00	166.78	1609.76	6.15	127.19	1737.33	0
sendreach.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.45	1.00	-24.11	6.89	79.30	530.67	5.13	77.62	399.71	0
military.com.	0	com	2.025	10.0	0.203	0.30	0.00	0.10	0.00	0.20	1.00	-21.45	7.75	65.00	420.62	5.04	61.98	300.62	0
gratispeliculas.org.	0	org	2.425	17.0	0.143	0.35	0.00	0.24	0.00	0.24	1.00	-44.45	7.13	84.06	812.20	4.44	76.40	729.38	0
gameinformer.com.	0	com	2.243	14.0	0.160	0.36	0.00	0.21	0.00	0.29	1.00	-25.76	7.42	93.46	458.08	5.81	92.89	524.48	0
85dcf732d593.se.	0	se	2.243	14.0	0.160	0.00	0.57	0.07	0.57	0.21	0.00	-46.70	26.42	816.23	13358.67	9.66	274.80	2651.79	0
general-files.pw.	0	pw	2.303	15.0	0.154	0.33	0.00	0.13	0.00	0.00	1.00	-44.89	8.08	96.21	1028.54	7.05	142.75	1808.53	0
taz.de.	0	de	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.00	0.00	-18.14	11.33	138.75	3106.00	9.88	109.88	2795.04	0
vitaminshoppe.com.	0	com	2.431	15.0	0.162	0.33	0.00	0.13	0.00	0.33	1.00	-35.24	8.62	91.21	770.85	6.23	63.77	602.57	0
canadiantire.ca.	0	ca	2.107	14.0	0.150	0.43	0.00	0.21	0.00	0.14	1.00	-38.74	5.50	39.54	476.33	3.40	28.33	675.66	0
ikyu.com.	0	com	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.33	0.00	-18.93	13.50	259.40	5559.00	5.94	129.46	2373.72	0
widgetbox.com.	0	com	2.272	11.0	0.207	0.27	0.00	0.00	0.00	0.36	0.00	-25.56	11.44	193.80	1521.22	7.73	117.22	996.60	0
opencartforum.ru.	0	ru	2.431	15.0	0.162	0.33	0.00	0.13	0.00	0.33	1.00	-36.38	8.00	128.36	799.31	5.28	96.21	974.89	0
newlook.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-22.05	9.00	164.50	2716.43	7.19	184.18	3733.04	0
slrclub.com.	0	com	1.889	9.0	0.210	0.11	0.00	0.11	0.00	0.56	0.00	-24.68	9.57	216.50	4112.71	3.29	129.65	4841.17	0
zacks.com.	0	com	1.748	7.0	0.250	0.14	0.00	0.00	0.00	0.43	1.00	-15.05	12.00	169.67	1555.80	8.46	98.45	1958.44	0
cultofmac.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.36	1.00	-28.78	9.44	182.80	2238.33	5.06	155.75	1645.36	0
sports.fr.	0	fr	1.733	8.0	0.217	0.12	0.00	0.12	0.00	0.62	1.00	-17.88	6.67	64.29	162.50	3.50	55.71	163.00	0
telegram.org.	0	org	2.025	10.0	0.203	0.30	0.00	0.10	0.00	0.20	1.00	-26.63	6.62	83.33	517.75	4.97	77.35	414.88	0
hwupgrade.it.	0	it	2.272	11.0	0.207	0.27	0.00	0.00	0.00	0.45	0.00	-37.87	11.33	245.80	5351.78	6.50	247.99	5661.79	0
ciao.de.	0	de	1.561	6.0	0.260	0.50	0.00	0.00	0.00	0.00	0.00	-16.71	4.75	109.80	737.00	3.11	94.60	368.65	0
estekhtam.com.	0	com	2.020	11.0	0.184	0.27	0.00	0.18	0.00	0.45	1.00	-30.98	7.67	135.40	2312.89	6.09	144.14	2606.85	0
fontpalace.com.	0	com	2.254	12.0	0.188	0.33	0.00	0.08	0.00	0.25	1.00	-29.37	7.60	86.82	961.30	5.75	91.66	876.23	0
xe.gr.	0	gr	1.040	4.0	0.260	0.25	0.00	0.00	0.00	0.00	1.00	-17.82	12.50	264.67	4963.50	11.50	204.33	258.50	0
timeslive.co.za.	0	co.za	2.020	11.0	0.184	0.36	0.00	0.18	0.00	0.18	1.00	-30.66	7.11	78.00	526.00	6.14	89.07	642.65	0
mkyong.com.	0	com	1.906	8.0	0.238	0.12	0.00	0.00	0.00	0.62	1.00	-21.43	12.50	215.14	4207.83	5.74	242.66	5170.55	0
games.co.id.	0	co.id	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.00	1.00	-22.63	7.00	46.00	84.60	5.69	38.53	66.90	0
gov.cl.	0	gov.cl	-0.000	2.0	-0.000	0.00	0.00	0.00	0.00	0.00	1.00	-16.60	0.00	601.00	0.00	0.00	0.00	0.00	0
newsmeback.com.	0	com	2.254	12.0	0.188	0.25	0.00	0.08	0.00	0.42	1.00	-28.17	9.20	117.91	1355.40	6.78	64.25	1903.84	0
coach.com.	0	com	1.550	7.0	0.221	0.29	0.00	0.14	0.00	0.29	1.00	-18.99	8.40	109.50	1321.00	5.46	81.57	1319.72	0
sport24.co.za.	0	co.za	2.043	9.0	0.227	0.11	0.22	0.00	0.22	0.44	1.00	-25.60	13.57	203.88	1798.29	10.91	210.53	2861.78	0
linux.org.ru.	0	ru	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.40	1.00	-26.08	8.33	142.75	1739.67	5.56	106.15	508.36	0
siol.net.	0	net	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	1.00	-18.49	5.25	69.20	1315.00	2.28	32.21	1525.23	0
gravityforms.com.	0	com	2.441	14.0	0.174	0.21	0.00	0.07	0.00	0.57	1.00	-31.06	10.08	149.85	1340.33	6.93	124.70	1539.81	0
videovantage.co.	0	co	2.243	14.0	0.160	0.43	0.00	0.21	0.00	0.14	1.00	-35.62	8.33	106.46	936.00	7.54	72.96	1559.47	0
bluefly.com.	0	com	1.889	9.0	0.210	0.22	0.00	0.11	0.00	0.56	1.00	-21.12	12.29	179.00	2083.86	6.11	86.79	1949.64	0
pervclips.com.	0	com	2.146	11.0	0.195	0.18	0.00	0.09	0.00	0.55	1.00	-27.08	9.44	177.60	3519.00	6.08	189.19	5873.74	0
shopmania.ro.	0	ro	2.146	11.0	0.195	0.36	0.00	0.09	0.00	0.36	1.00	-30.42	7.33	100.50	925.00	5.21	145.91	1275.91	0
onlywire.com.	0	com	2.164	10.0	0.216	0.30	0.00	0.00	0.00	0.40	1.00	-22.59	8.88	147.89	1447.50	6.88	134.56	1444.52	0
hjenglish.com.	0	com	2.146	11.0	0.195	0.18	0.00	0.09	0.00	0.64	1.00	-30.78	11.44	200.40	3603.56	7.59	244.78	4811.45	0
iqoo.me.	0	me	1.330	6.0	0.222	0.50	0.00	0.17	0.00	0.00	0.00	-24.92	10.00	329.20	6474.25	11.55	351.93	3920.07	0
my.tv.sohu.com/user/cc133.	0	com	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	0.00	-999.00	9.50	186.20	1524.75	5.72	125.33	869.78	0
niazpardaz.com.	0	com	1.979	12.0	0.165	0.33	0.00	0.17	0.00	0.33	0.00	-34.75	10.00	193.36	3075.60	8.47	186.85	2767.05	0
gotomypc.com.	0	com	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.40	1.00	-30.90	10.38	167.67	2685.62	5.48	112.02	2790.37	0
ampxchange.com.	0	com	2.254	12.0	0.188	0.25	0.00	0.08	0.00	0.58	1.00	-30.02	10.50	172.09	3335.50	7.13	249.10	5375.79	0
yourfiledownloader.com.	0	com	2.484	20.0	0.124	0.40	0.00	0.25	0.00	0.25	1.00	-37.37	8.44	131.16	626.11	6.34	102.99	711.27	0
juegosdiarios.com.	0	com	2.338	15.0	0.156	0.47	0.00	0.20	0.00	0.13	1.00	-37.59	7.69	134.14	1459.46	6.89	109.45	1181.69	0
aztecaporno.com.	0	com	2.245	13.0	0.173	0.38	0.00	0.15	0.00	0.31	1.00	-33.05	7.36	136.75	1675.45	6.75	171.10	1826.68	0
tarad.com.	0	com	1.550	7.0	0.221	0.29	0.00	0.14	0.00	0.00	1.00	-14.89	5.80	38.17	238.20	3.71	27.76	62.86	0
op.fi.	0	fi	1.040	4.0	0.260	0.25	0.00	0.00	0.00	0.00	1.00	-17.14	8.50	143.67	614.50	5.50	13.30	183.50	0
myadvertisingpays.com.	0	com	2.580	19.0	0.136	0.26	0.00	0.21	0.00	0.58	1.00	-42.78	9.24	128.61	1147.35	6.48	142.68	1119.57	0
bancopopular.es.	0	es	2.243	14.0	0.160	0.36	0.00	0.21	0.00	0.14	1.00	-43.19	8.25	93.62	921.42	4.80	81.11	711.96	0
mangastream.com.	0	com	2.098	13.0	0.161	0.31	0.00	0.15	0.00	0.38	1.00	-28.50	6.45	48.33	352.82	4.54	40.36	463.11	0
zap.com.br.	0	com.br	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.00	1.00	-17.64	13.67	207.00	1764.33	9.39	61.75	1031.65	0
itp.ne.jp.	0	ne.jp	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.40	0.00	-23.26	8.33	154.75	3366.33	4.19	117.86	1700.20	0
xjtu.edu.cn.	0	edu.cn	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.50	0.00	-26.32	17.50	461.60	7388.50	7.83	330.06	3402.54	0
tradesparq.com.	0	com	2.138	12.0	0.178	0.25	0.00	0.17	0.00	0.50	1.00	-27.24	8.50	165.64	1680.70	8.20	264.94	2886.93	0
sportsseoul.com.	0	com	2.098	13.0	0.161	0.31	0.00	0.15	0.00	0.46	1.00	-32.63	6.45	98.00	1610.09	3.89	61.66	2090.35	0
slashgear.com.	0	com	2.020	11.0	0.184	0.27	0.00	0.18	0.00	0.45	1.00	-28.07	7.00	129.50	2074.56	5.58	185.71	2515.32	0
itesm.mx.	0	mx	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	1.00	-21.79	5.60	86.83	1226.20	3.32	82.22	1053.46	0
az.pl.	0	pl	1.040	4.0	0.260	0.25	0.00	0.00	0.00	0.00	0.00	-14.98	13.50	173.67	2148.00	11.50	105.89	3.00	0
abercrombie.com.	0	com	2.138	13.0	0.164	0.38	0.00	0.23	0.00	0.38	1.00	-36.49	6.73	116.75	1442.45	5.01	89.89	1326.47	0
credomatic.com.	0	com	2.254	12.0	0.188	0.33	0.00	0.08	0.00	0.17	1.00	-28.14	6.60	73.55	359.50	3.80	63.81	244.81	0
channelnewsasia.com.	0	com	2.201	17.0	0.129	0.35	0.00	0.24	0.00	0.47	1.00	-39.91	6.87	101.94	1136.80	5.63	123.99	1512.76	0
game-debate.com.	0	com	2.098	13.0	0.161	0.38	0.00	0.15	0.00	0.00	1.00	-30.14	8.27	101.08	1079.27	7.27	113.56	1003.52	0
krone.at.	0	at	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	1.00	-26.94	7.20	107.33	1163.40	5.91	150.93	1269.26	0
free-press-release.com.	0	com	1.990	20.0	0.099	0.35	0.00	0.15	0.00	0.30	1.00	-44.26	7.22	119.84	1047.22	7.41	140.27	1238.74	0
liverpool.com.mx.	0	com.mx	2.020	11.0	0.184	0.36	0.00	0.18	0.00	0.18	1.00	-29.35	7.89	97.50	659.56	6.26	87.92	716.05	0
cashnhits.com.	0	com	2.020	11.0	0.184	0.18	0.00	0.18	0.00	0.55	1.00	-29.01	8.33	136.70	3106.22	5.12	147.41	4226.66	0
tekstowo.pl.	0	pl	1.887	10.0	0.189	0.30	0.00	0.20	0.00	0.30	1.00	-33.32	8.12	109.67	1967.38	6.88	100.10	1293.05	0
jizzbell.com.	0	com	1.887	10.0	0.189	0.20	0.00	0.20	0.00	0.50	1.00	-25.95	14.25	242.89	3431.50	9.39	184.57	3191.93	0
caikuu.com.	0	com	1.733	8.0	0.217	0.50	0.00	0.12	0.00	0.00	0.00	-24.64	10.00	222.29	5369.17	5.51	196.55	5930.66	0
pingan.com.	0	com	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.25	1.00	-16.94	8.67	56.29	454.00	4.99	56.63	418.74	0
051jk.com.	0	com	1.748	7.0	0.250	0.00	0.43	0.00	0.43	0.29	0.00	-18.28	26.60	633.67	9366.20	4.92	283.39	4607.03	0
apotheken-umschau.de.	0	de	2.580	19.0	0.136	0.37	0.00	0.21	0.00	0.32	1.00	-59.16	9.71	167.56	2868.53	6.60	141.30	3329.82	0
sadistic.pl.	0	pl	1.887	10.0	0.189	0.30	0.00	0.20	0.00	0.20	1.00	-27.08	6.12	63.22	512.25	3.14	50.94	696.34	0
jamiiforums.com.	0	com	2.245	13.0	0.173	0.38	0.00	0.15	0.00	0.15	1.00	-33.09	9.55	180.08	2516.91	7.33	135.31	3424.57	0
avery.com.	0	com	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	1.00	-13.44	10.00	94.17	472.80	8.79	82.04	390.53	0
publix.com.	0	com	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.25	1.00	-17.55	13.17	159.71	1066.67	6.09	100.86	455.17	0
im286.com.	0	com	1.748	7.0	0.250	0.14	0.43	0.00	0.43	0.00	1.00	-21.29	22.40	525.67	10843.00	12.60	314.38	6669.24	0
internetretailer.com.	0	com	1.985	18.0	0.110	0.39	0.00	0.28	0.00	0.33	1.00	-37.92	4.88	43.35	282.94	2.78	44.54	270.90	0
eventbrite.co.uk.	0	co.uk	1.979	12.0	0.165	0.33	0.00	0.17	0.00	0.33	1.00	-33.23	7.20	99.00	1057.00	6.38	102.54	1272.77	0
comenity.net.	0	net	2.164	10.0	0.216	0.30	0.00	0.00	0.00	0.20	1.00	-24.65	7.88	66.11	329.12	5.30	54.22	272.55	0
mlmleadsystempro.com.	0	com	2.399	18.0	0.133	0.22	0.00	0.22	0.00	0.67	1.00	-46.68	7.88	150.18	2296.94	4.90	135.35	2788.54	0
tro-ma-ktiko.blogspot.gr.	0	gr	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.50	1.00	-63.58	9.00	100.00	250.00	5.02	66.42	224.10	0
value-domain.com.	0	com	2.441	14.0	0.174	0.43	0.00	0.07	0.00	0.00	1.00	-37.06	9.17	141.77	1382.33	7.17	115.52	1359.79	0
tala.ir.	0	ir	1.330	6.0	0.222	0.33	0.00	0.17	0.00	0.00	1.00	-18.16	5.00	26.60	282.25	3.08	9.39	130.11	0
newalbumreleases.net.	0	net	2.274	18.0	0.126	0.39	0.00	0.22	0.00	0.22	1.00	-50.79	6.88	118.76	1764.50	5.72	146.34	2252.38	0
ccidcom.com.	0	com	1.677	9.0	0.186	0.22	0.00	0.11	0.00	0.44	1.00	-24.10	8.57	161.62	2383.57	3.29	121.75	1524.41	0
batoto.net.	0	net	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.00	1.00	-23.39	6.17	48.14	764.33	4.41	25.10	712.20	0
fontawesome.io.	0	io	2.245	13.0	0.173	0.38	0.00	0.15	0.00	0.15	1.00	-47.70	7.45	81.08	1309.45	6.83	86.04	1513.32	0
p-world.co.jp.	0	co.jp	2.043	9.0	0.227	0.11	0.00	0.00	0.00	0.33	1.00	-26.88	12.57	231.75	3860.14	6.86	194.57	4747.07	0
jamieoliver.com.	0	com	2.245	13.0	0.173	0.46	0.00	0.15	0.00	0.00	1.00	-31.49	8.09	109.92	1727.00	8.12	79.00	2495.11	0
sportgeza.hu.	0	hu	2.272	11.0	0.207	0.27	0.00	0.00	0.00	0.45	0.00	-34.32	8.78	155.60	2634.33	7.51	154.46	2746.39	0
downloadhelper.net.	0	net	2.339	16.0	0.146	0.31	0.00	0.25	0.00	0.44	1.00	-36.09	8.43	152.33	1233.36	6.01	134.25	1460.22	0
faxingw.cn.	0	cn	2.043	9.0	0.227	0.22	0.00	0.00	0.00	0.33	1.00	-24.37	13.57	226.88	2543.86	8.17	186.14	2328.01	0
liilas.com.	0	com	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.00	1.00	-22.33	5.50	111.86	2974.50	2.63	170.46	3647.69	0
propakistani.pk.	0	pk	2.243	14.0	0.160	0.36	0.00	0.21	0.00	0.29	1.00	-38.34	7.25	87.62	808.58	5.07	60.75	769.75	0
aftabir.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-23.96	8.00	125.62	1722.57	6.39	93.26	1161.81	0
be2.com.br.	0	com.br	1.332	5.0	0.266	0.20	0.20	0.00	0.00	0.00	1.00	-18.61	14.67	280.00	4346.67	11.03	218.61	3564.64	0
thisis50.com.	0	com	1.887	10.0	0.189	0.20	0.20	0.20	0.20	0.20	1.00	-26.38	13.00	278.56	4399.38	11.17	336.77	5116.94	0
pekao24.pl.	0	pl	2.043	9.0	0.227	0.33	0.22	0.00	0.22	0.00	0.00	-28.24	14.00	279.62	4369.43	11.77	179.65	3670.15	0
taloussanomat.fi.	0	fi	2.119	15.0	0.141	0.40	0.00	0.27	0.00	0.13	1.00	-48.92	5.92	59.71	709.77	3.47	45.30	479.23	0
3dlat.com.	0	com	1.748	7.0	0.250	0.14	0.14	0.00	0.00	0.29	1.00	-19.64	12.20	257.17	4564.60	9.95	246.27	5389.72	0
programmableweb.com.	0	com	2.344	17.0	0.138	0.29	0.00	0.29	0.00	0.47	1.00	-41.63	8.87	113.62	1273.73	6.21	75.73	1506.27	0
askme.com.	0	com	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.43	1.00	-18.50	7.40	129.67	2663.00	6.34	152.87	2750.66	0
just-eat.co.uk.	0	co.uk	2.025	10.0	0.203	0.30	0.00	0.10	0.00	0.20	1.00	-30.53	10.50	170.22	2091.12	8.80	159.13	2204.68	0
womansday.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.27	1.00	-28.65	9.22	116.90	1331.44	6.73	95.00	1707.67	0
bongdainfo.com.	0	com	2.138	12.0	0.178	0.33	0.00	0.17	0.00	0.42	1.00	-26.58	9.10	123.73	1006.50	6.02	142.92	1070.26	0
work.ua.	0	ua	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	1.00	-17.97	12.00	115.40	258.75	7.65	64.74	120.22	0
quondos.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-21.80	10.57	156.00	1540.43	8.76	138.49	1496.20	0
womenshealth6.org.	0	org	2.431	15.0	0.162	0.27	0.07	0.13	0.00	0.40	1.00	-44.28	10.54	206.07	2634.08	9.43	338.39	4637.65	0
despegar.com.	0	com	2.025	10.0	0.203	0.30	0.00	0.10	0.00	0.20	1.00	-24.22	7.12	80.22	961.88	5.67	65.85	1329.24	0
kaufmich.com.	0	com	2.164	10.0	0.216	0.30	0.00	0.00	0.00	0.40	0.00	-29.87	11.88	222.89	4336.62	6.07	171.80	4208.35	0
career.ru.	0	ru	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.00	1.00	-18.01	4.33	32.00	206.67	3.30	31.68	343.62	0
jtl-software.de.	0	de	2.441	14.0	0.174	0.21	0.00	0.07	0.00	0.43	1.00	-42.54	10.83	239.92	4691.25	8.62	208.25	6383.16	0
lovefilm.com.	0	com	2.025	10.0	0.203	0.30	0.00	0.10	0.00	0.20	1.00	-23.75	9.88	142.78	1258.25	7.18	81.41	1282.71	0
ovaustralia.com.	0	com	2.205	13.0	0.170	0.46	0.00	0.08	0.00	0.23	1.00	-32.09	6.82	93.08	1104.18	5.80	82.22	1318.02	0
adafruit.com.	0	com	2.025	10.0	0.203	0.40	0.00	0.10	0.00	0.20	1.00	-27.01	8.25	119.11	1602.25	5.89	85.69	1138.80	0
trendcounter.com.	0	com	2.144	14.0	0.153	0.29	0.00	0.29	0.00	0.50	1.00	-31.21	6.83	67.54	560.67	3.67	93.09	757.36	0
selfgrowth.com.	0	com	2.369	12.0	0.197	0.17	0.00	0.00	0.00	0.58	1.00	-32.75	10.50	228.91	3797.80	6.96	231.05	4449.22	0
xxsy.net.	0	net	1.330	6.0	0.222	0.00	0.00	0.17	0.00	0.67	0.00	-22.35	18.00	323.40	7023.25	7.78	161.66	5360.99	0
playground.ru.	0	ru	2.369	12.0	0.197	0.25	0.00	0.00	0.00	0.58	1.00	-30.77	10.20	135.82	1361.70	5.29	128.61	1831.50	0
somuch.com.	0	com	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.25	1.00	-23.64	9.83	138.86	2132.50	4.71	94.52	2015.79	0
pornper.com.	0	com	1.735	9.0	0.193	0.22	0.00	0.22	0.00	0.33	1.00	-18.40	7.43	99.88	1413.14	4.66	112.53	2134.10	0
path.com.	0	com	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	1.00	-14.01	10.00	85.20	724.75	5.87	57.32	390.66	0
managewp.com.	0	com	2.025	10.0	0.203	0.30	0.00	0.10	0.00	0.20	1.00	-25.01	9.38	126.22	1967.38	6.93	135.08	2155.14	0
beanfun.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-23.55	9.57	110.75	1437.43	6.39	99.77	1296.92	0
mywork.vn.	0	vn	1.906	8.0	0.238	0.12	0.00	0.00	0.00	0.62	1.00	-20.30	13.00	167.57	1082.00	6.81	136.55	1333.92	0
tubepornstars.com.	0	com	2.338	15.0	0.156	0.27	0.00	0.20	0.00	0.40	1.00	-31.48	7.08	83.43	760.69	4.27	66.28	1208.67	0
stackthatmoney.com.	0	com	2.393	16.0	0.150	0.25	0.00	0.12	0.00	0.50	1.00	-39.08	8.36	109.53	1352.79	5.80	118.09	1595.36	0
phandroid.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.45	1.00	-24.46	8.67	122.80	952.78	5.01	94.99	657.77	0
alison.com.	0	com	1.906	8.0	0.238	0.38	0.00	0.00	0.00	0.00	1.00	-16.75	5.17	40.57	349.33	2.54	37.23	411.26	0
autovit.ro.	0	ro	1.889	9.0	0.210	0.44	0.00	0.11	0.00	0.00	1.00	-28.64	8.29	97.38	1002.71	6.54	78.36	1152.29	0
vsemayki.ru.	0	ru	2.164	10.0	0.216	0.30	0.00	0.00	0.00	0.40	1.00	-33.28	10.25	219.78	3749.25	7.87	204.23	2749.76	0
eldeforma.com.	0	com	2.146	11.0	0.195	0.36	0.00	0.09	0.00	0.36	1.00	-26.16	7.22	106.90	916.44	6.03	94.20	683.18	0
heftig.co.	0	co	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.25	1.00	-29.55	10.83	142.43	2959.00	7.15	90.94	1843.80	0
reviewmaster.org.	0	org	2.206	14.0	0.158	0.36	0.00	0.14	0.00	0.29	1.00	-32.55	7.25	109.23	950.42	6.98	154.04	1515.76	0
beyondtherack.com.	0	com	2.523	15.0	0.168	0.27	0.00	0.07	0.00	0.40	1.00	-35.71	9.15	115.14	1249.31	6.31	109.18	1358.27	0
afip.gob.ar.	0	gob.ar	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	0.00	-34.67	10.00	147.00	2697.75	7.35	69.47	2901.30	0
xovi.de.	0	de	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	1.00	-22.96	13.25	250.00	4950.75	9.78	164.32	4807.16	0
zamalekfans.com.	0	com	2.205	13.0	0.170	0.31	0.00	0.08	0.00	0.31	1.00	-35.21	9.36	151.75	2412.00	7.91	167.45	3150.16	0
stiftung-warentest.de.	0	de	2.441	20.0	0.122	0.25	0.00	0.20	0.00	0.50	1.00	-53.27	8.94	116.53	1957.00	6.61	162.19	3338.66	0
haspa.de.	0	de	1.550	7.0	0.221	0.29	0.00	0.14	0.00	0.29	1.00	-23.08	8.00	79.00	1216.40	6.29	38.04	687.99	0
fashionista.com.	0	com	2.138	13.0	0.164	0.38	0.00	0.23	0.00	0.31	1.00	-26.26	7.00	70.17	462.36	5.74	50.15	456.92	0
elnorte.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.44	1.00	-22.49	5.00	110.00	1598.86	3.07	155.84	1889.82	0
pr.gov.br.	0	pr.gov.br	-0.000	2.0	-0.000	0.00	0.00	0.00	0.00	0.00	1.00	-20.51	0.00	601.00	0.00	0.00	0.00	0.00	0
hitfix.com.	0	com	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.25	0.00	-21.20	12.67	183.29	2234.00	7.99	115.16	1506.38	0
4399pk.com.	0	com	1.733	8.0	0.217	0.00	0.50	0.00	0.50	0.25	0.00	-19.94	27.83	647.00	8622.67	8.65	304.57	3676.08	0
advertig.com.	0	com	2.164	10.0	0.216	0.30	0.00	0.00	0.00	0.40	1.00	-23.90	8.75	106.22	1121.88	6.87	121.94	986.49	0
jacquieetmicheltv.net.	0	net	2.479	19.0	0.130	0.37	0.00	0.21	0.00	0.47	1.00	-58.87	10.29	198.11	2813.88	8.59	180.53	2521.17	0
haodou.com.	0	com	1.733	8.0	0.217	0.50	0.00	0.12	0.00	0.00	1.00	-20.76	8.33	139.00	1560.50	5.88	64.55	1121.72	0
livehotty.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.27	1.00	-23.07	9.89	129.60	1180.33	7.14	89.58	1495.09	0
eroticbeauties.net.	0	net	2.307	16.0	0.144	0.50	0.00	0.19	0.00	0.12	1.00	-44.62	5.64	98.73	1300.21	4.27	122.96	1595.89	0
pathci.net.	0	net	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.38	1.00	-26.03	9.00	151.14	2947.17	5.29	167.08	3116.87	0
shooshtime.com.	0	com	2.023	12.0	0.169	0.33	0.00	0.25	0.00	0.42	1.00	-29.21	7.30	82.82	1237.40	5.48	79.45	1383.28	0
k12.com.	0	com	1.332	5.0	0.266	0.00	0.40	0.00	0.40	0.00	1.00	-11.14	24.33	467.75	7448.00	4.50	257.66	3304.93	0
lavenir.net.	0	net	2.043	9.0	0.227	0.33	0.00	0.00	0.00	0.00	1.00	-27.38	7.43	79.00	1327.00	6.54	53.20	1425.76	0
siteslike.com.	0	com	1.894	11.0	0.172	0.36	0.00	0.27	0.00	0.18	1.00	-25.42	6.00	81.90	775.22	4.88	99.13	653.33	0
mobileworldcongress.com.	0	com	2.558	21.0	0.122	0.29	0.00	0.24	0.00	0.43	1.00	-47.72	7.79	106.20	924.95	5.27	98.91	1319.79	0
anumex.com.	0	com	1.906	8.0	0.238	0.38	0.00	0.00	0.00	0.00	1.00	-21.15	9.83	127.43	1503.67	7.69	101.41	885.53	0
adjal.com.	0	com	1.550	7.0	0.221	0.29	0.00	0.14	0.00	0.29	1.00	-18.30	10.20	176.33	3423.20	8.82	211.81	2767.73	0
valporn.com.	0	com	2.043	9.0	0.227	0.22	0.00	0.00	0.00	0.44	1.00	-20.28	9.14	127.62	980.43	6.42	109.51	743.75	0
covoiturage.fr.	0	fr	2.352	13.0	0.181	0.46	0.00	0.08	0.00	0.00	1.00	-38.49	7.91	111.75	1291.82	6.36	89.83	1089.42	0
careers24.com.	0	com	2.020	11.0	0.184	0.27	0.18	0.18	0.18	0.18	1.00	-22.90	10.11	155.50	1414.11	11.01	181.57	2582.17	0
polskieradio.pl.	0	pl	2.342	14.0	0.167	0.43	0.00	0.14	0.00	0.21	1.00	-39.33	6.75	96.38	1077.83	5.12	78.64	1149.00	0
